,host_response_time,host_acceptance_rate,host_identity_verified,property_type,host_location,host_is_superhost,instant_bookable,host_has_profile_pic,bathrooms_text,host_verifications,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,beds,number_of_reviews,availability_365,price,minimum_nights,maximum_nights
3161,within an hour,100%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1.5 shared baths,"['email', 'phone', 'work_email']",4.99,5.0,4.94,4.79,1.0,126,5,153,2,5
3162,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.74,5.0,4.96,4.67,2.0,27,4,221,3,1125
3163,DESCONOCIDO,DESCONOCIDO,t,Entire condo,"Copenhagen, Denmark",f,f,t,1 bath,"['email', 'phone']",5.0,5.0,4.83,4.0,2.0,6,65,290,1,5
3164,within a day,6%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.87,4.93,5.0,4.73,1.0,15,59,204,3,30
3165,within a day,19%,t,Entire home,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.86,5.0,4.57,4.76,1.0,22,79,225,3,1125
3166,DESCONOCIDO,75%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.71,4.86,5.0,4.86,1.0,7,3,200,6,1125
3167,within an hour,84%,t,Private room in condo,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1.5 baths,"['email', 'phone']",5.0,4.95,4.7,4.8,3.0,20,76,220,2,7
3168,within an hour,99%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1 private bath,"['email', 'phone']",4.69,4.47,4.94,4.44,1.0,232,286,94,1,365
3169,within an hour,90%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.89,5.0,4.44,4.33,1.0,10,34,250,4,60
3170,within an hour,99%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1 shared bath,"['email', 'phone']",4.65,4.46,4.91,4.45,1.0,210,265,91,1,365
3171,within an hour,100%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,3 baths,"['email', 'phone']",4.63,4.88,4.75,4.75,3.0,8,8,360,4,25
3172,DESCONOCIDO,DESCONOCIDO,t,Private room in bed and breakfast,DESCONOCIDO,DESCONOCIDO,t,t,1 bath,"['email', 'phone']",4.8,4.9,4.8,4.6,1.8,0,209,254,1,1125
3173,within a few hours,93%,t,Private room in houseboat,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.79,4.92,4.92,4.33,2.0,24,95,309,3,1125
3174,within a day,74%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.57,5.0,4.71,4.43,2.0,7,218,350,3,7
3175,within an hour,96%,t,Entire rental unit,"Amsterdam, Netherlands",f,t,t,1.5 baths,"['email', 'phone']",4.68,4.84,4.88,4.24,2.0,25,3,275,2,1125
3176,within an hour,88%,t,Entire rental unit,DESCONOCIDO,t,f,t,1 bath,['phone'],4.79,5.0,4.91,4.79,2.0,53,0,355,3,3
3177,within an hour,100%,t,Entire home,"Amsterdam, Netherlands",f,f,t,2 baths,"['email', 'phone']",4.83,5.0,5.0,4.5,4.0,6,9,450,4,25
3178,within an hour,100%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.97,5.0,4.92,4.82,2.0,192,52,196,3,1125
3179,within a few hours,97%,t,Private room in boat,"Amsterdam, Netherlands",t,f,t,1.5 baths,"['email', 'phone']",4.99,4.99,4.87,4.94,1.0,125,28,131,3,14
3180,DESCONOCIDO,DESCONOCIDO,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1 private bath,"['email', 'phone']",4.9,4.98,4.92,4.65,3.0,124,109,414,2,1125
3181,within a day,98%,t,Private room in guest suite,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1.5 baths,['phone'],4.73,4.93,4.82,4.59,3.0,119,6,220,1,1125
3182,DESCONOCIDO,71%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",5.0,5.0,5.0,4.83,1.0,6,31,180,5,22
3183,within an hour,100%,t,Private room in home,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1 private bath,"['email', 'phone']",4.8,4.9,4.8,4.6,1.0,0,0,371,2,30
3184,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.67,5.0,4.33,4.67,1.0,3,0,110,2,1125
3185,within a day,100%,t,Entire townhouse,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",5.0,5.0,4.57,4.57,2.0,8,9,299,7,28
3186,within an hour,94%,t,Private room in houseboat,"Amsterdam, Netherlands",t,f,t,1 private bath,"['email', 'phone', 'work_email']",4.93,4.95,4.88,4.71,1.0,42,267,189,3,5
3187,DESCONOCIDO,DESCONOCIDO,f,Entire rental unit,"Amstelveen, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.17,4.83,4.83,4.67,1.0,6,0,80,3,25
3188,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",5.0,5.0,5.0,4.67,1.0,3,0,110,3,1125
3189,within an hour,98%,t,Private room in condo,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 shared bath,"['email', 'phone']",4.97,4.95,4.97,4.75,1.0,61,173,169,2,365
3190,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Amsterdam, Netherlands",f,t,t,1 bath,"['email', 'phone']",3.0,4.33,4.0,3.67,1.0,3,0,144,2,1125
3191,within an hour,90%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.69,4.92,4.93,4.72,1.0,375,190,145,1,31
3192,within an hour,100%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone', 'work_email']",4.44,4.81,4.75,4.38,1.0,16,10,200,2,30
3193,within an hour,80%,t,Houseboat,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",5.0,5.0,5.0,5.0,1.0,2,29,220,4,120
3194,within an hour,93%,t,Entire chalet,DESCONOCIDO,t,f,t,1 bath,"['email', 'phone']",4.96,4.96,4.7,4.69,1.0,74,11,150,2,1125
