,host_response_time,host_acceptance_rate,host_identity_verified,property_type,host_location,host_is_superhost,instant_bookable,host_has_profile_pic,bathrooms_text,host_verifications,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,beds,number_of_reviews,availability_365,price,minimum_nights,maximum_nights
11998,within an hour,100%,t,Entire rental unit,DESCONOCIDO,t,t,t,2 baths,"['email', 'phone']",4.86,4.91,4.79,4.94,3.0,116,335,1100,2,1125
11999,within a few hours,99%,t,Private room in bed and breakfast,"Naucalpan de JuÃ¡rez, Mexico",f,t,t,1 private bath,"['email', 'phone']",4.84,4.6,4.9,4.67,1.0,218,226,1920,1,365
12000,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Toronto, Canada",f,f,t,2.5 baths,"['email', 'phone']",4.7,4.8,4.8,4.7,2.0,0,0,2542,30,100
12001,within a day,100%,t,Private room in serviced apartment,"Mexico City, Mexico",f,f,t,1 private bath,"['email', 'phone']",4.7,4.8,4.8,4.7,1.0,0,149,857,2,30
12002,within a few hours,99%,t,Private room in bed and breakfast,"Naucalpan de JuÃ¡rez, Mexico",f,t,t,1 private bath,"['email', 'phone']",4.83,4.68,4.84,4.67,1.0,303,226,1938,1,365
12003,within an hour,100%,t,Entire condo,"Mexico City, Mexico",t,t,t,2 baths,"['email', 'phone']",5.0,5.0,4.82,4.88,3.0,17,335,1250,5,1125
12004,within an hour,98%,t,Entire rental unit,"Los Angeles, CA",t,f,t,2 baths,"['email', 'phone']",4.96,5.0,5.0,4.93,3.0,54,340,3918,2,1125
12005,within a few hours,93%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,2 baths,"['email', 'phone']",4.7,4.8,4.8,4.7,4.0,0,180,962,2,185
12006,DESCONOCIDO,77%,t,Entire rental unit,DESCONOCIDO,f,f,t,3 baths,"['email', 'phone']",5.0,5.0,5.0,5.0,3.0,17,0,1900,5,1125
12007,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",5.0,5.0,5.0,4.0,4.0,1,307,998,10,185
12008,within an hour,96%,t,Private room in condo,"Guadalajara, Mexico",t,f,t,1 private bath,"['email', 'phone']",4.93,4.76,4.98,4.9,1.0,41,241,459,2,1125
12009,within an hour,99%,f,Room in boutique hotel,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone', 'work_email']",4.73,4.18,4.64,4.18,2.0,11,341,1286,2,1125
12010,within a day,100%,t,Tiny home,"Mexico City, Mexico",f,f,t,7.5 baths,"['email', 'phone']",5.0,5.0,5.0,4.7,7.0,10,302,23380,2,1125
12011,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.7,4.8,4.8,4.7,2.0,0,252,871,1,185
12012,within an hour,99%,f,Room in boutique hotel,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone', 'work_email']",4.81,4.1,5.0,4.67,2.0,21,355,1384,2,1125
12013,within an hour,88%,t,Entire loft,DESCONOCIDO,f,f,t,1 bath,"['email', 'phone']",5.0,5.0,5.0,4.8,1.0,15,147,1487,3,30
12014,within an hour,100%,t,Entire condo,"Mexico City, Mexico",f,t,t,1 bath,"['email', 'phone']",4.79,4.96,4.86,4.79,1.0,28,362,800,1,1125
12015,within an hour,100%,t,Entire guest suite,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.87,4.93,4.96,4.8,1.0,45,356,350,1,1125
